id;name;description;portions;creation_date
1;Up-sized Assurance Practical;administration navigating;56794;architectures
2;payment Account;Assistant Granite;137;Borders programming
3;channels infrastructure;Associate;76636;Investor Kenyan monitor
4;Bedfordshire;Ergonomic Director invoice;50215;Incredible
5;Refined;Berkshire Refined;13621;1080p
6;mindshare Technician;payment Micronesia Engineer;71788;Tuna compressing Internal
7;Practical;lime Berkshire functionalities;50866;engage multi-state Toys
8;payment;withdrawal neural-net;73030;backing
9;Liberia task-force applications;Central;99838;morph withdrawal
10;XSS relationships;Row channels;39259;National CFP Handmade
