id;name;description;creation_date
1;Jordanian Views;optical Cotton;payment Serbian
2;Account deliverables;Product Automotive Berkshire;web-enabled Cambridgeshire haptic
3;Cambridgeshire;ROI Land;Manager transparent Metal
4;Practical Kentucky;cyan Computers Kids;area composite AI
5;Global;Metal Ghana override;Strategist Plastic
6;overriding Texas orchid;Swaziland Frozen Bedfordshire;Awesome
7;Carolina navigate;Buckinghamshire;Business-focused Concrete Assistant
8;Home Tuna Rhode;visualize backing Response;complexity Account Marketing
9;sticky Borders reciprocal;wireless;Dynamic Hawaii Oklahoma
10;Chips Loan Fresh;Islands Multi-channelled Armenian;protocol archive paradigm
