id;name;description;cooking_time;rate;image_url;creation_date
1;Shoes Circle Louisiana;Niue;Orchestrator invoice Orchestrator;77170;Health;Malta
2;leverage Cambridgeshire;Legacy Bedfordshire;Direct;73481;Generic;copy reboot neural
3;rich;generating Bedfordshire;Barbados invoice logistical;16183;Grocery cross-platform;Mexico
4;withdrawal Assurance Awesome;multi-byte Georgia Buckinghamshire;Berkshire;8626;Division Utah Mountains;quantifying
5;Human Lane;Tala;Baby invoice Pakistan;52524;Shirt monitor Customer;Decentralized Mission
6;Legacy;e-tailers generating Balanced;firewall;3341;port;Chief Botswana
7;Representative Marketing;Awesome JBOD Dollar;transmit Bacon navigate;5925;up program;Central
8;bandwidth;input;azure District;84646;cutting-edge logistical;turquoise indigo streamline
9;Wooden Handcrafted Account;Account Mouse Phased;Buckinghamshire;64707;Operations;Mayotte
10;Sharable back-end dot-com;uniform synthesizing;port;42122;Bedfordshire Group Loan;Object-based
